EIN,NAME,STREET,CITY,ZIP,ACTIVITY,NTEE_CD
360268,IGLESIA VICTORIA,1445 N BOONVILLE AVE,SPRINGFIELD,65802-1894,1002029,
10415961,VETERANS FOR PEACE INC,1404 N BROADWAY,SAINT LOUIS,63102-2303,123000000,W30Z
10528050,ORDER OF QUETZALCOATL PLUMED SERPENT,PO BOX 547,FENTON,63026-0547,319000000,
10539370,PI BETA PHI FRATERNITY,1154 TOWN AND COUNTRY COMMONS DR,CHESTERFIELD,63017-8200,36034319,
10548351,HEARTLAND BAPTIST FELLOWSHIP OF CASS COUNTY,21203 E 283RD ST,HARRISONVILLE,64701-6338,0,X200
10565782,CHINA TRAINING NETWORK,PO BOX 11032,SPRINGFIELD,65808-1032,0,X20
10568360,BOONSLICK AREA TOURISM COUNCIL,341 STATE ROUTE J,FAYETTE,65248-9552,0,S41
10568855,ROTARY CLUB OF LIBERTY MISSOURI FOUNDATION,906 WILDBRIAR DR,LIBERTY,64068-1244,0,B82
10570996,TRI COUNTY FAIR BOARD,PO BOX 928,RICHLAND,65556-0928,0,N52
10575589,THE UNIVERSAL BUDDHIST CONGREGATION QUANG PHAP RELIGIOUS MONASTIC INST,5232 BULWER AVE,SAINT LOUIS,63147-3110,0,X50
10575727,HERITAGE ACADEMY,606 RIDGEWAY AVE,COLUMBIA,65203-2484,0,B20
10582036,FO GUANG SHAN SAINT LOUIS BUDDHIST CENTER,3109 SMILEY RD,BRIDGETON,63044-3043,0,X50
10584486,ST LOUIS SENIOR DOG PROJECT,7488 RIVERMONT TRL,HOUSE SPRINGS,63051-2033,0,D20
10586306,BARCEDA FAMILIES,413 W WATER ST,GREENFIELD,65661-1353,0,P20
10598059,MINORITY MENS NETWORK EDUCATIONAL FOUNDATION,PO BOX 1839,COLUMBIA,65205-1839,0,B82
10601119,BAPTIST GENERAL CONVENTION OF MISSOURI,PO BOX 508,JEFFERSON CTY,65102-0508,0,X112
10605038,HABITAT FOR HUMANITY INTERNATIONAL INC,PO BOX 223,CASSVILLE,65625-0223,29380000,L20Z
10605273,WE ARE ONE MINISTRIES INC,PO BOX 2454,LEES SUMMIT,64063-6454,0,X200
10612490,WEBSTER GROVES SCHOOL DISTRICT PARENT-TEACHERS ORGANIZATION,100 SELMA AVE,SAINT LOUIS,63119-3107,35000000,
10618842,TRINITY OUTREACH MINISTRIES INC,565 N WEST BYP,SPRINGFIELD,65802-5349,0,X21
10624838,FAERY TAILS CORGI RESCUE OF ST LOUIS,PO BOX 190816,SAINT LOUIS,63119-6816,0,D20
10625543,BUCKHAWK CENTER,1509 CR 437B,MOUNTAIN VIEW,65548-8864,0,D20
10625897,FILM COMMISSION OF GREATER KANSAS CITY,601 E 63RD ST STE 400,KANSAS CITY,64110-3355,0,A31
10636703,KATEE HESSLER MEMORIAL FUND,304 WALNUT FOREST DR,OFALLON,63366-4126,0,T30
10643399,ROBINSON CEMETERY ASSOCIATION,PO BOX 122,COLLINS,64738-0122,0,Y50
10643653,AMERICAN ESKIMO RESCUE OF SAINT LOUIS INC,PO BOX 190523,SAINT LOUIS,63119-6523,0,D20
10643912,K-LIFE MINISTRIES,PO BOX 701,BOLIVAR,65613-0701,7000000,I21Z
10655012,PACIFIC PARTNERSHIP,PO BOX 267,PACIFIC,63069-0267,0,S20
10657366,SOJOURNER INC,1410 E KEARNEY ST STE D,SPRINGFIELD,65803-4100,0,X20
10666585,WELLSTON LOOP COMMUNITY DEVELOPMENT CORPORATION,1514 HODIAMONT AVE,SAINT LOUIS,63112-3619,0,P01
10668810,POPLAR BLUFF HISTORIC DEPOT RESTORATION CORPORATION,1829 WHISPERING OAKS PL,POPLAR BLUFF,63901-2069,0,A54
10670203,NEW GENERATIONAL CHRISTIAN CENTER CHURCH INC,12297 A NATURAL BRIDGE,ST LOUIS,63044-2063,0,X20
10672416,MR AND MRS NORMAN B HEIMOS FOUNDATION,PO BOX 11356,CLAYTON,63105-0156,0,T20
10674596,PANEURHYTHMY CIRCLE OF JOY,3965 WESTMINSTER PL,SAINT LOUIS,63108-3907,0,A62
10684355,FRIENDS OF CARONDELET PARK INC,3910 BOWEN ST,SAINT LOUIS,63116-3126,0,N32
10701603,MARINE CORPS LEAGUE,5700 LEONA ST,SAINT LOUIS,63116-2910,908279265,
10701616,MARINE CORPS LEAGUE,26 JODY DR,ST PETERS,63376-2311,908279265,
10701794,MAKING A DIFFERENCE FOUNDATION,802 CALHOUN ST,CHILLICOTHE,64601-2205,0,X84
10704382,HIDDEN JEWELS,208 BRIGHT STAR DR,COLUMBIA,65203-0279,0,O50
10727567,PTA MISSOURI CONGRESS PAXTON KEELEY,201 PARK DE VILLE,COLUMBIA,65203-0000,59035000,
10729978,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,36319000,
10737435,CLIMAX SPRINGS ALUMNI ASSOCIATION SCHOLARSHIP FUND,9051 N STATE HIGHWAY 7,CLIMAX SPRGS,65324-2791,0,B84
10749562,DANIEL BOONE FLYING CLUB INC,604 S GREENWOOD AVE,COLUMBIA,65203-2769,0,N50
10750030,KINGS SANCTUARY-OUTREACH MINISTRY,7330 OLIVE ST RD,UNIVERSITY CITY,63130-0000,0,X20
10752303,LIGHTHOUSE DELIVERANCE MINISTRY,PO BOX 916,ST ROBERT,65584-0916,0,X20
10752717,OZARKS WRITERS INC,45 ROCKET RD,BUFFALO,65622-6515,0,Z99
10755486,ST JOSEPH RETIRED TEACHERS SCHOLARSHIP FOUNDATION,2509 SHIRLEY DR,SAINT JOSEPH,64503-1154,0,B82
10756138,FIVE ACRES ANIMAL SHELTER,1099 PRALLE LN,SAINT CHARLES,63303-5735,0,D20
10757598,CALVARYS GRACE MINISTRIES,PO BOX 1672,POPLAR BLUFF,63902-1672,0,X20
10760435,KINGDOM YOUTH ALLIANCE INC,5301 COUNTY ROAD 220,KINGDOM CITY,65262-2014,0,X20
10764731,TEXAS COUNTY MUSEUM OF ART AND HISTORY,PO BOX 344,LICKING,65542-0344,0,A50
10765869,ALL FAITH CHURCH INC,2823 MARCUS AVE,ST LOUIS,63115-1902,0,X20
10773957,GIFTS OF LOVE INTERNATIONAL,14382 WOODLAKE DR,CHESTERFIELD,63017-5714,0,Q33
10776235,FRIENDS OF THE MORGAN COUNTY LIBRARY,600 N HUNTER ST,VERSAILLES,65084-1830,0,B90
10776583,TOASTMASTERS INTERNATIONAL,170 EDWARD JONES BLVD,MARYLAND HTS,63043-3000,59319000,
10777850,H E R O E S CARE INC,330 SUN VALLEY CIR,FENTON,63026-4690,0,W30
10784332,SECKMAN ICE HOCKEY CLUB,PO BOX 375,IMPERIAL,63052-0375,0,N68
10785617,OUR LADY OF REFUGE INC,2110 E BRIAR ST,SPRINGFIELD,65804-7524,0,X20
10794834,INTERNATIONAL SOCIETY FOR AUTISM,400 ADMIRAL BLVD,KANSAS CITY,64106-1508,0,H20
10795152,CHRISTIAN FRIENDS OF NEW AMERICANS,4019 S GRAND BLVD,SAINT LOUIS,63118-3407,0,X90
10811660,INSTITUTE OF BLACK INVENTION & TECHNOLOGY INC,4210 MONTGALL AVE,KANSAS CITY,64130-1317,0,A57
10815067,BELIEVERS FELLOWSHIP CHURCH INC,903 N 19TH AVE,OZARK,65721-6737,2006007,
